,term,score
0,mr,0.4256783405523402
1,pinchback,0.31551858481102896
2,convention,0.2639914392760678
3,colored,0.17689057313729972
4,rights,0.15355578912721302
5,sumner,0.15005095460051726
6,party,0.14303462667189276
7,harralson,0.13733230569345325
8,civil,0.11354245264396458
9,republican,0.11328105446012446
10,douglass,0.11245888428436651
11,resolution,0.10583182961554151
12,men,0.1057265432612984
13,alabama,0.10138268145310904
14,ransier,0.09965532105791329
15,people,0.09947503508953277
16,burch,0.09380282251138698
17,country,0.09172859442509385
18,grant,0.09081258267993433
19,said,0.09032374430985102
20,platform,0.0850762332152389
21,ruffin,0.08241820421524973
22,lieutenant,0.07970169054934642
23,committee,0.07831853671812147
24,louisiana,0.07677260232989555
25,ingraham,0.07674776387295298
26,martin,0.07399770078524094
27,time,0.07282153393275646
28,question,0.07255615920196522
29,cardoza,0.07247659713302784
30,man,0.07208829469335686
31,clarke,0.06982469765238439
32,president,0.06731300564622342
33,charles,0.06224786576638397
34,hon,0.06199561287228877
35,turner,0.060862958738949875
36,gentlemen,0.06050849306598978
37,did,0.06050849306598978
38,negro,0.060172833809147855
39,cincinnati,0.06012313188800827
40,race,0.057544540056731035
41,order,0.05737454188641418
42,applause,0.05671748881015927
43,chester,0.05645863636656115
44,governor,0.05571089773740414
45,congress,0.05504122218631025
46,sella,0.054443574879191735
47,thought,0.05254333224681775
48,rapier,0.0524479481369771
49,supplementary,0.05116517591530199
50,motion,0.049684771573306794
51,members,0.04966247306443969
52,evening,0.04850792225535098
53,presidential,0.04659657206107781
54,called,0.04570945254801004
55,report,0.045682121631408515
56,states,0.04478101363183952
57,downing,0.04440800584655334
58,vote,0.04377849771063674
59,day,0.04339801554983809
60,clock,0.04302249320878808
61,fighting,0.042997856512994495
62,say,0.042092864741558114
63,chair,0.042092864741558114
64,texas,0.04110651453870242
65,past,0.04025053333468829
66,german,0.038225370169442205
67,massachusetts,0.0374862947614555
68,ohio,0.03739829466322471
69,stevens,0.037263857592659544
70,arkansas,0.037263857592659544
71,think,0.03698425754087578
72,resolutions,0.036545697305126815
73,remarks,0.03640778215940614
74,republicans,0.03596820022136462
75,favor,0.035735600056196165
76,chairman,0.03552988241277287
77,united,0.035473195046028354
78,asked,0.03519203878314181
79,ruby,0.03513888894561747
80,philadelphia,0.03504380890502565
81,langston,0.034971866556329556
82,positions,0.034971866556329556
83,member,0.03450045714401853
84,south,0.03444959965638506
85,opposed,0.03417169211316097
86,want,0.033711711981825654
87,slavery,0.033709772805443454
88,honor,0.03347990702663261
89,shall,0.03332902213547435
90,moved,0.03311464224565197
91,morris,0.03277236239789609
92,like,0.032744158287884385
93,coming,0.03252660105736016
94,jerry,0.03245937162294254
95,carolina,0.03240999360580529
96,introduced,0.03223711913894878
97,read,0.031841456450210255
98,regard,0.03179963045204775
99,great,0.031757127243921546
100,good,0.031757127243921546
101,spoke,0.031672834904827626
102,distinguished,0.031455122334364365
103,appointed,0.03132195907198326
104,mouth,0.031110614216680987
105,answered,0.030829885904026817
106,adopted,0.030682620496561987
107,business,0.03052972340566748
108,liberty,0.030237665604440436
109,schurz,0.0294283512200257
110,warmoth,0.0294283512200257
111,american,0.029392113646347924
112,support,0.02936268553084111
113,seat,0.029174406057547658
114,gave,0.029107029093408832
115,chance,0.028806749794634486
116,recognition,0.028649676836662547
117,discussion,0.02853407191491234
118,times,0.02818208054830693
119,speak,0.02818208054830693
120,misrepresented,0.02811111115649398
121,fred,0.027755003654095837
122,does,0.027520611093155126
123,carl,0.02717872392488544
124,state,0.02696343848305311
125,previous,0.026743481692954603
126,minutes,0.026473423633210615
127,cause,0.026380238232991272
128,reference,0.02630179607052994
129,believed,0.026183655295187284
130,indebted,0.025982929866848054
131,columbia,0.02589541760445247
132,relate,0.025390799146321592
133,federal,0.025340475613556478
134,half,0.02525203891550651
135,senate,0.02507307647762963
136,mississippi,0.02497990468309254
137,gentleman,0.024852011234168404
138,white,0.02478035130084142
139,passed,0.024740030808135804
140,way,0.024740030808135804
141,talk,0.024643609223258454
142,offered,0.024558118715913287
143,idea,0.02455686585999647
144,know,0.024378173279421916
145,georgia,0.02431911607004049
146,black,0.0238972684472216
147,present,0.023779643018339666
148,position,0.02371347267290818
149,national,0.023648796697352235
150,place,0.023648796697352235
151,decision,0.023591341750773275
152,virginia,0.023591341750773275
153,concluded,0.02340883028421149
154,cease,0.023362539270017097
155,anybody,0.02333296066251074
156,ku,0.02333296066251074
157,cardozo,0.02333296066251074
158,following,0.02329716270118414
159,future,0.023175399937173637
160,make,0.022841060815704257
161,representatives,0.022638800405984646
162,rose,0.02258017715585163
163,hoped,0.0224917768568733
164,subject,0.022358147207988056
165,known,0.02231993801775507
166,wanted,0.02231967807103513
167,address,0.02221934809031623
168,changes,0.02220400292327667
169,making,0.02215462490613943
170,amendment,0.022095534051068195
171,administration,0.022066316853017243
172,equal,0.021735839559578928
173,protect,0.02168440070490677
174,manhood,0.02168440070490677
175,fully,0.021574150232177538
176,answer,0.021491412759299184
177,general,0.021433198662886156
178,messrs,0.0209101098913189
179,course,0.0209101098913189
180,rules,0.0209101098913189
181,build,0.02085524551701512
182,majority,0.020749288588794657
183,just,0.020744475572580585
184,understood,0.020676641394747338
185,additional,0.020676641394747338
186,objected,0.02055325726935121
187,deferred,0.020498765454832202
188,longer,0.020399069816304388
