,term,score
0,nebraska,0.42268234277158767
1,convention,0.342317756636021
2,orleans,0.2438192618254106
3,williamson,0.19403087077766384
4,douglass,0.18294466758902597
5,colored,0.15986675835729455
6,sterrit,0.159577133927667
7,omalia,0.159577133927667
8,delegates,0.15938063334546462
9,april,0.15232307175177376
10,material,0.15047149074364002
11,10th,0.140419573365924
12,benefited,0.1320097782735471
13,curry,0.1320097782735471
14,interests,0.1293266614621855
15,timed,0.12188673599885112
16,inexpedient,0.11786933490177694
17,political,0.11786399293987292
18,williams,0.11449866105166392
19,new,0.10843726424003425
20,abide,0.10828839409364506
21,unsettled,0.10326243540478706
22,theo,0.10326243540478706
23,chapel,0.10326243540478706
24,lancaster,0.10326243540478706
25,president,0.10265881438078234
26,1872,0.1010328364859061
27,impolitic,0.1010328364859061
28,excitement,0.08481668617995189
29,believe,0.08376144816118415
30,ill,0.07711672141640111
31,national,0.07694227589414201
32,said,0.07535174360270615
33,city,0.07483077381306977
34,resolved,0.07483077381306977
35,louisiana,0.0734654808317862
36,daniel,0.070209786682962
37,held,0.06985507808451198
38,following,0.06890747369999363
39,appointing,0.0687051823009293
40,wilson,0.06798018776408105
41,issued,0.06727225351541917
42,scott,0.06727225351541917
43,st,0.065243227455473
44,esq,0.06459619569200185
45,advance,0.06459619569200185
46,elect,0.06334243855709024
47,philadelphia,0.06334243855709024
48,people,0.06223959211564018
49,length,0.06213884536445562
50,nominate,0.06098155586300866
51,introduced,0.05826928641947991
52,wednesday,0.057754986418695656
53,movement,0.05724933052583196
54,parties,0.05626282190345608
55,mass,0.05530763636294185
56,send,0.054841180237722116
57,doing,0.054841180237722116
58,voted,0.054381845858874976
59,paper,0.053044478246592974
60,deem,0.05218482498043824
61,kind,0.05218482498043824
62,look,0.04935588717001698
63,remarks,0.04935588717001698
64,addressed,0.04935588717001698
65,moved,0.04897262316648929
66,consider,0.04785128278798428
67,unanimously,0.04712628825113601
68,evening,0.04641835400247414
69,recommend,0.04641835400247414
70,republican,0.046070537210599886
71,elected,0.04538673919862002
72,favor,0.04471813796302616
73,action,0.043108887154061824
74,regard,0.043108887154061824
75,condition,0.041581360243369364
76,resolution,0.040991423353479224
77,motion,0.04041283210996112
78,meeting,0.0392879976466243
79,vice,0.0392879976466243
80,john,0.03847113794707101
81,united,0.03847113794707101
82,mr,0.03847113794707101
83,secretary,0.03820370669810401
84,rev,0.037675871801353074
85,appointed,0.03639543101288694
86,order,0.03589813345245942
87,adopted,0.03565253357910425
88,called,0.03540892239051105
89,present,0.035167267939417185
90,states,0.03468970525500757
91,citizens,0.03468970525500757
92,committee,0.03352794634592994
93,men,0.033075519513298554
94,pang,0.0
95,peculiarly,0.0
96,peculiarity,0.0
97,peculiarities,0.0
98,peculiar,0.0
99,pelam,0.0
100,pecos,0.0
101,pecks,0.0
102,pedagogues,0.0
103,pangs,0.0
104,peckham,0.0
105,peck16,0.0
106,peck,0.0
107,peasants,0.0
108,pecuniary,0.0
109,pelman,0.0
110,peddlers,0.0
111,peden,0.0
112,pelham,0.0
113,pell,0.0
114,pegs,0.0
115,peesident,0.0
116,peers,0.0
117,peer,0.0
118,pelled,0.0
119,peeled,0.0
120,peek,0.0
121,pedple,0.0
122,pedigree,0.0
123,peas,0.0
124,pedestal,0.0
125,panem,0.0
126,peirce,0.0
127,peasant,0.0
128,pearly,0.0
129,panhandle,0.0
130,pears,0.0
131,payments,0.0
132,payment,0.0
133,paymaster,0.0
134,paym,0.0
135,paying,0.0
136,payers,0.0
137,payable,0.0
138,pay,0.0
139,paola,0.0
140,paperhanger,0.0
141,paved,0.0
142,pausing,0.0
143,pauses,0.0
144,pause,0.0
145,paupers,0.0
146,pauperizes,0.0
147,pauperism,0.0
148,pauper,0.0
149,paupau,0.0
150,panting,0.0
151,panperism,0.0
152,payne,0.0
153,peacefulness,0.0
154,panic,0.0
155,pembina,0.0
156,pankes,0.0
157,pearls,0.0
158,pearl,0.0
159,pearce,0.0
160,panoply,0.0
161,peak,0.0
162,peacefully,0.0
163,paynesville,0.0
164,peaceful,0.0
165,peaceably,0.0
166,peaceable,0.0
167,peace,0.0
168,peacable,0.0
169,peabody,0.0
170,payton,0.0
171,pays,0.0
172,pelt,0.0
173,paraphrases,0.0
174,pen,0.0
175,pampered,0.0
176,palmyra,0.0
177,palpable,0.0
178,peopie,0.0
179,peonage,0.0
180,palpably,0.0
181,palsied,0.0
182,palsies,0.0
183,palsy,0.0
184,penury,0.0
185,peoples,0.0
186,penurious,0.0
187,pent,0.0
188,pensylvania,0.0
189,pensive,0.0
190,pensions,0.0
191,pension,0.0
192,pensacola,0.0
193,pens,0.0
194,peopled,0.0
195,palmetto,0.0
196,pennsyvania,0.0
197,palmer10,0.0
198,perched,0.0
199,perchance,0.0
200,palmed,0.0
201,perch,0.0
202,perceptions,0.0
203,perception,0.0
204,palmer,0.0
205,perceptible,0.0
206,palmerston,0.0
207,peoplo,0.0
208,percentage,0.0
209,percent,0.0
210,perceiving,0.0
211,perceived,0.0
212,perceive,0.0
213,pepper,0.0
214,peoria,0.0
215,peopulation,0.0
216,penny,0.0
217,pennsylvanians,0.0
218,penal,0.0
219,pandering,0.0
220,penetrate,0.0
221,peneton,0.0
222,pendulum,0.0
223,pander,0.0
224,pends,0.0
225,pendleton,0.0
226,pending,0.0
227,pendency,0.0
228,pencils,0.0
229,penetrated,0.0
230,pencil,0.0
231,panel,0.0
232,pencader,0.0
233,penance,0.0
234,penalty,0.0
235,paul,0.0
236,penalties,0.0
237,penalities,0.0
238,pandemonium,0.0
239,peninsula,0.0
240,pennsylvania,0.0
241,penna,0.0
242,pennsylvana,0.0
243,pennsylania,0.0
