,term,score
0,cuba,0.5511268769037538
1,spanish,0.35471498079038993
2,cuban,0.3033736999448663
3,spain,0.25609437971877563
4,slavery,0.20621497063209618
5,island,0.1862544139520863
6,government,0.1603497800331505
7,cubans,0.14626946247341766
8,havana,0.10293036248129392
9,madrid,0.09005867186789993
10,slave,0.0808350256766987
11,freedom,0.0807788442966613
12,treaty,0.07924483613402328
13,slaves,0.07384705431864566
14,abolition,0.06912177658773842
15,patriots,0.06530173576783448
16,insurgents,0.06504237412681661
17,emancipados,0.06500864998818565
18,trade,0.06283173318638048
19,emancipation,0.059344461713768046
20,majesty,0.05729971819310813
21,porto,0.05503585503038329
22,traffic,0.052019170880376296
23,thousand,0.05194214701615608
24,rico,0.050032595482166625
25,years,0.04972923177715538
26,liberty,0.048705755418521623
27,united,0.04832323464104677
28,men,0.04716015298703283
29,law,0.04599109126768264
30,inhuman,0.04524237754721941
31,cause,0.04370641582342065
32,states,0.04357341259239019
33,citizens,0.04239575279259586
34,1872,0.04115883111049608
35,insurrection,0.04053395324290497
36,pindell,0.0400260763857333
37,decreed,0.04001474683105869
38,colored,0.039075982440589574
39,meeting,0.03867916887673116
40,millions,0.03792232884638874
41,zorilla,0.03792171249310829
42,cooper,0.03741595683960459
43,question,0.037306566154730575
44,country,0.03706699352299419
45,great,0.03632924703876066
46,free,0.03606275782457532
47,official,0.0353647621428012
48,action,0.035123460202623885
49,earl,0.03502281683751664
50,diplomatic,0.0343624251220949
51,granville,0.033962072628867114
52,mr,0.03395686758560043
53,brethren,0.032740129439116826
54,minister,0.03265086788391724
55,cortes,0.03250432499409282
56,despatch,0.032011797464846954
57,million,0.030774012371377314
58,time,0.03046709992477584
59,general,0.030249454089792783
60,fish,0.03018850900343744
61,antilles,0.030019557289299975
62,scottron,0.030019557289299975
63,rights,0.029795662602553837
64,foreign,0.02968920503405529
65,shall,0.02945016821709186
66,new,0.02945016821709186
67,affairs,0.02938395601394433
68,war,0.0290176900305064
69,african,0.028405354244833893
70,belligerent,0.02825658654636401
71,december,0.027434386396013862
72,colonies,0.027141971775682797
73,butcheries,0.02708693749507735
74,senor,0.02708693749507735
75,applause,0.02684821579052719
76,recently,0.026578833905332288
77,institute,0.02651479266676073
78,british,0.02651479266676073
79,loan,0.02641494537800776
80,people,0.026411677849152698
81,immediate,0.02618186709621262
82,republic,0.02563144070704481
83,right,0.02541727178752031
84,struggle,0.02531416844971621
85,york,0.0252132575146374
86,human,0.02513329694330133
87,insurgent,0.025016297741083313
88,spaniards,0.025016297741083313
89,measure,0.024842711002882573
90,assurances,0.024827154002976838
91,inhabitants,0.024363931079887928
92,don,0.024126197133940267
93,circular,0.02338287386719326
94,sympathy,0.022724283395867115
95,condition,0.022585926755806483
96,information,0.022562478650301136
97,money,0.02230295341358609
98,behalf,0.022228843317018358
99,institution,0.021955032490014532
100,fact,0.021896290821908457
101,appears,0.021825974823102678
102,delay,0.021825974823102678
103,emancipado,0.02166954999606188
104,revolt,0.02147651570130931
105,intervention,0.02147651570130931
106,islands,0.021459250522324162
107,colonial,0.0206892950024807
108,equality,0.020587341612541006
109,confirmed,0.02057941555524804
110,efforts,0.020485771730642886
111,present,0.020295828865619325
112,held,0.020157475875580144
113,interfere,0.020156614047785237
114,captain,0.020155732270465833
115,civilization,0.019934125428999215
116,white,0.019905815836093257
117,favor,0.019735416867240094
118,christian,0.01964686590851106
119,concession,0.019405875947315274
120,reforms,0.019405875947315274
121,resistance,0.019389590377379747
122,committee,0.019349739150192804
123,subject,0.019207310754194414
124,view,0.019198341909995194
125,britain,0.019053623292105783
126,past,0.019053294271730022
127,jose,0.018837724364242674
128,estates,0.018837724364242674
129,civilized,0.018462545870301866
130,policy,0.018460209804791836
