,term,score
0,people,0.23700914667138867
1,dover,0.22025454860919388
2,state,0.19089369083726848
3,colored,0.1808930296575028
4,coppin,0.17362049302357252
5,horsey,0.17362049302357252
6,segars,0.17362049302357252
7,delaware,0.15702294686274126
8,school,0.1407165636464596
9,appoquinimink,0.138896394418858
10,legislature,0.13032476450401903
11,caldwell,0.12438681006811783
12,convention,0.12189041828814276
13,wilmington,0.10766571123376172
14,murderkill,0.10417229581414351
15,del,0.10259380669054122
16,prince,0.10169769273791984
17,hamilton,0.1014158961232426
18,cooper,0.09992788459107278
19,rev,0.09837956017245733
20,steward,0.09425452837016969
21,education,0.09380524711990844
22,citizens,0.09058205642841323
23,following,0.08996589370172298
24,solomon,0.08285494909265369
25,thought,0.08266494833808233
26,henry,0.08266494833808233
27,clayton,0.0825954557284477
28,creek,0.0825954557284477
29,schooling,0.0825954557284477
30,rights,0.08080039140574274
31,00,0.07993070616251424
32,adopted,0.07758016835105407
33,association,0.07345698199244485
34,month,0.07319245266961659
35,fisher,0.07069089627762727
36,pencader,0.069448197209429
37,duckry,0.069448197209429
38,shockley,0.069448197209429
39,brinkley,0.069448197209429
40,georges,0.069448197209429
41,milborn,0.069448197209429
42,john,0.06697077731024757
43,children,0.06662848478558843
44,invited,0.06573629259509353
45,said,0.0655863734483049
46,layton,0.06413928408437766
47,tingle,0.06413928408437766
48,riggs,0.06413928408437766
49,laws,0.06379292883461346
50,address,0.06292273691464596
51,schools,0.061063424866361585
52,samuel,0.06069040485404404
53,whiskey,0.0603725502773498
54,caleb,0.0603725502773498
55,fact,0.060149891309547246
56,unwilling,0.05995673075464367
57,ask,0.05753024261729085
58,milford,0.05745084455063522
59,resolved,0.05699130486987426
60,outrageous,0.05506363715229847
61,tax,0.054085828978392626
62,present,0.05356695879111238
63,resolution,0.053518578436895704
64,pays,0.05304528205587867
65,subject,0.052763167223625486
66,charles,0.05246400978246518
67,pay,0.05206236698815537
68,necessity,0.05166559271130145
69,east,0.051651785740469414
70,specially,0.05129690334527061
71,committee,0.05106993592328573
72,insulting,0.049754724027247135
73,believing,0.049397132037776105
74,known,0.04938093473948832
75,willing,0.048971321328296576
76,good,0.04817821759791361
77,white,0.047846737382091956
78,1873,0.047127264185084845
79,right,0.04654810101063244
80,educate,0.04583309956362969
81,paid,0.045793271065853
82,dollar,0.04437761260000342
83,teachers,0.04437761260000342
84,money,0.04398656980526341
85,sustained,0.04391547160176995
86,congress,0.04329740419891064
87,entirely,0.04259091903130502
88,detrimental,0.04222125641319142
89,bryant,0.04222125641319142
90,portion,0.04197120782597215
91,mr,0.041856735818904735
92,propriety,0.04135007995537373
93,north,0.041332474169041164
94,ignorance,0.04056437173379447
95,resolutions,0.04042709912988982
96,efforts,0.04040266827153488
97,temperance,0.03944177555705612
98,agitate,0.03929955068647683
99,civil,0.03921215500858992
100,time,0.03905729771702215
101,finally,0.038727511889461635
102,season,0.03866072199874814
103,harper,0.03866072199874814
104,work,0.03807341987747911
105,interests,0.03752209884796338
106,fault,0.03691234328814008
107,urge,0.036728490996222427
108,philanthropy,0.03637784495976224
109,discrimination,0.03637784495976224
110,legislation,0.036104943823549535
111,burden,0.03537016397011661
112,pillory,0.0347240986047145
113,broadkiln,0.0347240986047145
114,duck,0.0347240986047145
115,peckham,0.0347240986047145
116,sol,0.0347240986047145
117,dagsboro,0.0347240986047145
118,blots,0.0347240986047145
119,607,0.0347240986047145
120,ash,0.0347240986047145
121,whatcoate,0.0347240986047145
122,shadrick,0.0347240986047145
123,actuary,0.0347240986047145
124,ducky,0.0347240986047145
125,public,0.03443774021191643
126,facilities,0.03443452382697961
127,christian,0.03434495329938975
128,equal,0.03419638567719997
129,consequently,0.03399063756142549
130,best,0.03395723532426534
131,session,0.03372024925759529
132,need,0.03325355663077348
133,striking,0.03314560948111222
134,appreciation,0.03314560948111222
135,bar,0.03274270412795432
136,word,0.03247305314918298
137,stewart,0.032351827614247645
138,jacob,0.032351827614247645
139,maryland,0.032351827614247645
140,christiana,0.03206964204218883
141,barney,0.03206964204218883
142,hush,0.03206964204218883
143,sketches,0.03206964204218883
144,entailing,0.03206964204218883
145,corporal,0.03206964204218883
146,minus,0.03206964204218883
147,riddle,0.03206964204218883
148,testimony,0.0319722824650057
149,mrs,0.03160343016308874
150,desire,0.03147840586947911
151,appeal,0.03123742019289322
152,unanimously,0.030764142201884625
153,daniel,0.030555399709086457
154,behalf,0.030531712433180792
155,george,0.030531712433180792
156,presented,0.03030200120365116
157,months,0.03022390375439763
158,enjoyed,0.03022390375439763
159,supplemental,0.0301862751386749
160,cedar,0.0301862751386749
161,sullen,0.0301862751386749
162,kenton,0.0301862751386749
163,taxed,0.029900593727341343
164,unite,0.029900593727341343
165,president,0.02978484202143221
166,share,0.029585075066668947
167,temporary,0.029276981067846635
168,offered,0.02897744863318622
169,ago,0.028975970320926456
170,men,0.028789026916664302
171,discontent,0.02872542227531761
172,offend,0.02872542227531761
173,elias,0.02872542227531761
174,unfairness,0.02872542227531761
175,redressed,0.02872542227531761
176,cheaper,0.02872542227531761
177,uniformly,0.02872542227531761
178,boyer,0.02872542227531761
179,inflicts,0.02872542227531761
180,jacobs,0.02872542227531761
181,st,0.028393946020870007
182,organization,0.028141574135972534
183,chair,0.02793804810498376
184,cease,0.027566719970249152
185,appropriating,0.027531818576149236
186,tillman,0.027531818576149236
187,lion,0.027531818576149236
188,unwillingness,0.027531818576149236
189,expensive,0.027531818576149236
190,scanty,0.027531818576149236
191,passage,0.027042914489196313
192,asking,0.027042914489196313
193,appropriate,0.026788665902058598
194,crime,0.026788665902058598
195,founded,0.026539260440858026
196,january,0.026539260440858026
197,pursuant,0.026539260440858026
198,express,0.026539260440858026
199,penal,0.026522641027939334
200,tables,0.026522641027939334
201,disturbing,0.026522641027939334
202,castle,0.026522641027939334
203,regeneration,0.026522641027939334
204,solitary,0.026522641027939334
205,pushed,0.026522641027939334
206,whipping,0.026522641027939334
207,3000,0.026522641027939334
208,answering,0.026522641027939334
209,poem,0.026522641027939334
210,reported,0.026381583611812743
211,allow,0.026294517038037413
212,viz,0.026054264594211864
213,means,0.02582830515893732
214,hon,0.025818341259641088
215,highest,0.025818341259641088
216,community,0.025818341259641088
217,fairness,0.025648451672635304
218,abhorrence,0.025648451672635304
219,levied,0.025648451672635304
220,glaring,0.025648451672635304
221,complained,0.025648451672635304
222,gould,0.025648451672635304
223,remedied,0.025648451672635304
224,puts,0.025648451672635304
225,fourteenth,0.025648451672635304
226,repeatedly,0.025648451672635304
227,assist,0.025586593779298585
228,long,0.025467926493199
229,roll,0.025358876894900417
230,petition,0.025135052798050398
231,poor,0.025135052798050398
232,gentleman,0.025135052798050398
233,asked,0.024914990629346292
234,spoke,0.024914990629346292
235,continue,0.024914990629346292
236,seats,0.024914990629346292
237,explicit,0.024877362013623568
238,confine,0.024877362013623568
239,backed,0.024877362013623568
240,contented,0.024877362013623568
241,option,0.024877362013623568
242,convicted,0.024877362013623568
243,restricted,0.024877362013623568
244,renew,0.024877362013623568
245,urgent,0.024877362013623568
246,questions,0.024698566018888053
247,operation,0.024485660664148288
248,ready,0.024276161941617615
249,touch,0.02418759880927801
250,payers,0.02418759880927801
251,strain,0.02418759880927801
252,relates,0.02418759880927801
253,clergymen,0.02418759880927801
254,doxology,0.02418759880927801
255,illustrate,0.02418759880927801
256,great,0.024089108798956805
257,credentials,0.02386696017534401
258,pledge,0.02386696017534401
259,appointed,0.023759015545900652
260,steamboats,0.023563632092542423
261,crying,0.023563632092542423
262,reed,0.023563632092542423
263,bow,0.023563632092542423
264,1871,0.023563632092542423
265,prevails,0.023563632092542423
266,hopeless,0.023563632092542423
267,generosity,0.023563632092542423
268,reading,0.023470160390411346
269,population,0.02327618068216845
270,west,0.02327618068216845
271,called,0.02311502059810364
272,little,0.023085032895818678
273,special,0.023085032895818678
274,objectionable,0.022993995110109636
275,fifteenth,0.022993995110109636
276,modified,0.022993995110109636
277,multiply,0.022993995110109636
278,discourage,0.022993995110109636
279,impose,0.022993995110109636
280,smith,0.0228966355329265
281,sense,0.022527783231009547
282,importance,0.022527783231009547
283,occurs,0.022469979883108497
284,array,0.022469979883108497
285,relate,0.022469979883108497
286,bounds,0.022469979883108497
287,chapel,0.022469979883108497
288,liquors,0.022469979883108497
289,cherish,0.022469979883108497
290,earnings,0.022469979883108497
291,postpone,0.022469979883108497
292,ignored,0.022469979883108497
293,indefinite,0.022469979883108497
294,unit,0.022469979883108497
295,speak,0.022169037753848986
296,committees,0.021993284902631704
297,sovereignty,0.02198481756189974
298,signatures,0.02198481756189974
299,1872,0.02198481756189974
300,weal,0.02198481756189974
301,permanent,0.021819859972270726
302,unfair,0.021533142246752342
303,appropriation,0.021533142246752342
304,examples,0.021533142246752342
305,cooperation,0.021533142246752342
306,dispensed,0.021533142246752342
307,reporters,0.021533142246752342
308,imperative,0.021533142246752342
309,expressions,0.021533142246752342
310,addressed,0.021479752777007265
311,moved,0.021312955733814778
312,messrs,0.021148256822318436
313,privileges,0.021148256822318436
314,joshua,0.02111062820659571
315,delany,0.02111062820659571
316,creditable,0.02111062820659571
317,aid,0.020985603912986074
318,prejudice,0.020824946795262148
319,educating,0.020713737273163422
320,intoxicating,0.020713737273163422
321,folly,0.020713737273163422
322,demanding,0.020713737273163422
323,reproach,0.020713737273163422
324,humane,0.020713737273163422
325,applauded,0.020713737273163422
326,noblest,0.020713737273163422
327,exclusively,0.020713737273163422
328,gray,0.020713737273163422
329,took,0.020509428134589752
330,james,0.020509428134589752
331,character,0.02035447495545386
332,flow,0.02033953854758397
333,vicinity,0.02033953854758397
334,market,0.02033953854758397
335,built,0.02033953854758397
336,unwise,0.02033953854758397
337,locality,0.02033953854758397
338,discussion,0.02020133413576744
339,recommend,0.02020133413576744
340,hotels,0.019985576918214558
341,average,0.019985576918214558
342,appears,0.019985576918214558
343,dearest,0.019985576918214558
344,dare,0.019985576918214558
345,tending,0.019985576918214558
346,necessities,0.019985576918214558
347,class,0.01990032338884726
348,thomas,0.01990032338884726
349,matter,0.019752373895795327
350,mainly,0.019649775343238415
351,sign,0.019649775343238415
352,eminently,0.019649775343238415
353,favor,0.019461397680587467
354,secretaries,0.019461397680587467
355,circulated,0.01933036099937407
356,joined,0.01933036099937407
357,cars,0.01933036099937407
358,strange,0.01933036099937407
359,fellow,0.019318299088790812
360,years,0.019318299088790812
361,able,0.019318299088790812
362,hold,0.019318299088790812
363,far,0.019036709938739554
364,appropriated,0.019025808626502827
365,provide,0.019025808626502827
366,poverty,0.019025808626502827
367,utter,0.019025808626502827
368,participated,0.019025808626502827
369,code,0.019025808626502827
370,presiding,0.019025808626502827
371,church,0.018898154245556135
372,spirit,0.018898154245556135
373,support,0.018898154245556135
374,secure,0.01876104942398169
375,regard,0.01876104942398169
376,common,0.01876104942398169
377,south,0.01876104942398169
378,politic,0.0187347964764746
379,enforce,0.0187347964764746
380,forwarded,0.0187347964764746
381,burdens,0.0187347964764746
382,did,0.01862536540332251
383,gladly,0.01845617164407004
384,foster,0.01845617164407004
385,statutes,0.01845617164407004
386,red,0.01845617164407004
387,monthly,0.01845617164407004
388,harrison,0.01845617164407004
389,just,0.018358144070823784
390,referring,0.01818892247988112
391,accorded,0.01818892247988112
392,perpetuate,0.01818892247988112
393,republicans,0.01818892247988112
394,curse,0.017932156417068898
395,justice,0.017839526145631897
396,race,0.017713018969979406
397,fairly,0.017685081985058304
398,cordially,0.017685081985058304
399,participate,0.017685081985058304
400,souls,0.017685081985058304
