,term,score
0,texas,0.2535919974632008
1,state,0.19010437501212724
2,acquisition,0.18395421652021718
3,fellow,0.15150256471497606
4,cuney,0.1439443885607327
5,citizens,0.13155262409381038
6,concession,0.1300661143814604
7,1916,0.12103181943596157
8,feelings,0.1156291706160293
9,civil,0.10250629941586668
10,men,0.100344960633238
11,rights,0.08961019139120793
12,political,0.08939434592155482
13,colored,0.08487604024808555
14,university,0.08358021533497945
15,white,0.08338557244280755
16,people,0.0826102027043207
17,1873,0.08213170044082335
18,confidence,0.08046352951954276
19,selfish,0.08014621476453022
20,platforms,0.08014621476453022
21,social,0.07915951563828161
22,holland,0.07831974499614046
23,cherish,0.07831974499614046
24,allen,0.07733970658742212
25,richard,0.07276918931892064
26,consider,0.0725859360376735
27,kindly,0.07089403197834869
28,austin,0.07089403197834869
29,efforts,0.07041231662537016
30,express,0.06937750236961758
31,openly,0.06848984298694354
32,support,0.06587004657366559
33,parties,0.06400909266233035
34,opposition,0.06346143240814982
35,legislation,0.06292239708425561
36,obligations,0.06250303405351555
37,strongest,0.061641849192167156
38,curator,0.060515909717980786
39,mathew,0.060515909717980786
40,unwearied,0.060515909717980786
41,boons,0.060515909717980786
42,gressional,0.060515909717980786
43,urgently,0.060515909717980786
44,sweeten,0.060515909717980786
45,reluctant,0.060515909717980786
46,animadversion,0.060515909717980786
47,winkler,0.060515909717980786
48,estrange,0.060515909717980786
49,riptoe,0.060515909717980786
50,coss,0.060515909717980786
51,address1,0.060515909717980786
52,clope,0.060515909717980786
53,public,0.06001685461383472
54,unworthy,0.060011249213888396
55,jenkins,0.060011249213888396
56,obstacles,0.059237660200762
57,disposition,0.059237660200762
58,effect,0.056592868687924465
59,unequivocal,0.05588981832489002
60,wring,0.05588981832489002
61,lifelong,0.05588981832489002
62,unalterably,0.05588981832489002
63,obstinacy,0.05588981832489002
64,olive,0.05588981832489002
65,emulate,0.05588981832489002
66,reaffirm,0.05588981832489002
67,ernest,0.05588981832489002
68,planks,0.05588981832489002
69,adhesive,0.05588981832489002
70,debruhl,0.05588981832489002
71,contradistinction,0.05588981832489002
72,conducing,0.05588981832489002
73,librarian,0.05588981832489002
74,man,0.05559038162853836
75,privileges,0.055284631652540606
76,result,0.05485943319504107
77,sumner,0.054452112325348946
78,july,0.053843577850601024
79,taxation,0.053843577850601024
80,washington,0.05361464017348477
81,grateful,0.05267313204431864
82,deny,0.05267313204431864
83,resent,0.052607554246668325
84,discern,0.052607554246668325
85,stolid,0.052607554246668325
86,repudiation,0.052607554246668325
87,indignantly,0.052607554246668325
88,panoply,0.052607554246668325
89,dale,0.052607554246668325
90,abate,0.052607554246668325
91,smothers,0.052607554246668325
92,homogeneous,0.052607554246668325
93,unabated,0.052607554246668325
94,richer,0.052607554246668325
95,accusations,0.052607554246668325
96,hands,0.05125314970793334
97,leave,0.05087493552090011
98,intrusion,0.050061632436096674
99,wilfully,0.050061632436096674
100,postoffice,0.050061632436096674
101,149,0.050061632436096674
102,immigrant,0.050061632436096674
103,151,0.050061632436096674
104,brenham,0.050061632436096674
105,sands,0.050061632436096674
106,bulletin,0.050061632436096674
107,animosities,0.050061632436096674
108,intrude,0.050061632436096674
109,dispelled,0.050061632436096674
110,prejudices,0.049483947545952915
111,interests,0.0490441229049833
112,relations,0.04804228774750571
113,aspirants,0.047981462853577565
