,term,score
0,hamburgh,0.43163109469254485
1,butler,0.28485967573994764
2,company,0.2559092108332044
3,rivers,0.25535507144675806
4,drill,0.19619595213297494
5,general,0.18576096308366088
6,militia,0.1614824316123028
7,massacre,0.15235018703616
8,arms,0.13257279317684356
9,armed,0.11304691607175377
10,town,0.1098126142768277
11,regiment,0.09674860139530649
12,room,0.09481301118318307
13,said,0.09264301668504638
14,1876,0.08991395057583144
15,citizens,0.0895651972612023
16,volume,0.08695037623178614
17,state,0.0808931785163259
18,officers,0.07949844822051119
19,getzen,0.07847838085318998
20,equipments,0.07847838085318998
21,interview,0.07795154855405967
22,prisoners,0.07299913631064459
23,adjutant,0.07247916240137232
24,carolina,0.06482228147855827
25,eighteenth,0.06222343071870605
26,fired,0.06222343071870605
27,buggy,0.05885878563989248
28,width,0.05885878563989248
29,attorney,0.05746060073027766
30,adams,0.05618318118378734
31,occupants,0.05435937180102924
32,law,0.053887448933376575
33,augusta,0.05325511008058025
34,time,0.05296299011632344
35,guarantee,0.05292709358077316
36,colonel,0.05196769903603978
37,case,0.0517476610138909
38,doc,0.05116698687789277
39,guard,0.050659579995067164
40,trial,0.049625695758783936
41,men,0.04879859325819844
42,hayne,0.04869078075618524
43,violence,0.04863995366291973
44,south,0.04770113397309218
45,instant,0.046814190373124044
46,yards,0.04666757303902954
47,white,0.045056778886221956
48,act,0.04366042299857198
49,july,0.04364097008487105
50,lieutenant,0.04347518811589307
51,asked,0.04223194126264578
52,williams,0.04223194126264578
53,captain,0.04171196735337351
54,commander,0.040998981994185536
55,peace,0.0401166423951451
56,ranks,0.039969262132404475
57,fact,0.03964977239274077
58,colored,0.039310407573228914
59,ordnance,0.03923919042659499
60,clyde,0.03923919042659499
61,simkins,0.03923919042659499
62,surrender,0.038975774277029834
63,united,0.037839413973111795
64,enforcement,0.03726517652591603
65,hearing,0.03700015994609633
66,day,0.03654699081950431
67,excellency,0.03649956815532229
68,firing,0.03623958120068616
69,brigade,0.03623958120068616
70,forbearing,0.03623958120068616
71,justice,0.03527852515785254
72,shot,0.035110642779843035
73,presence,0.03491277606789684
74,columbia,0.03452844554423608
75,states,0.03412007514712469
76,edgefield,0.034111324585261844
77,daylight,0.034111324585261844
78,lieutenants,0.034111324585261844
79,returned,0.03399965304982328
80,ninth,0.03330718323218584
81,legally,0.03330718323218584
82,john,0.03310948722647282
83,ultimatum,0.03246052050412349
84,outrage,0.03224953379843549
85,streets,0.0317562561484639
86,statement,0.03145623567070724
87,country,0.03132306769508745
88,hindered,0.031111715359353025
89,wound,0.031111715359353025
90,constitutional,0.030852237797971464
91,replied,0.030830977110478303
92,constituted,0.030830977110478303
93,abiding,0.030830977110478303
94,right,0.0306837064906373
95,went,0.03027193231338746
96,invoke,0.029976946599303358
97,nos,0.029971316858610483
98,disorder,0.029971316858610483
99,reaching,0.029971316858610483
100,marched,0.029971316858610483
101,column,0.029971316858610483
102,angry,0.029971316858610483
103,policy,0.02971353044973821
104,governor,0.02971353044973821
105,henry,0.02919177332693103
106,driven,0.029183972197751838
107,truthful,0.028983458743928714
