,term,score
0,kentucky,0.5885624002050568
1,frankfort,0.3720779185526353
2,association,0.23545569806024333
3,sec,0.15496752660096705
4,shall,0.13491405865940595
5,lexington,0.12847570772973385
6,henderson,0.12465898471788549
7,louisville,0.12311918854347559
8,maxwell,0.10983309357796167
9,teachers,0.1076456205139828
10,programme,0.10665391207471185
11,colored,0.10125865767039073
12,committee,0.09859758345937965
13,educational,0.09690457151667548
14,state,0.09568039459327693
15,danville,0.09332217306537287
16,vaughn,0.08334696052735595
17,superintendent,0.08310598981192366
18,exercises,0.08038140659380598
19,1877,0.07999043405603389
20,education,0.07801403925795243
21,convention,0.07743644254100307
22,president,0.07353846502426341
23,allensworth,0.06667756842188477
24,ky,0.0628620313427989
25,institutes,0.06276176775883525
26,bowling,0.06276176775883525
27,paris,0.06124038152077317
28,instruction,0.06030033204019522
29,knowledge,0.05950689987314339
30,public,0.058175973112100314
31,meeting,0.0577682508040817
32,teacher,0.05023837912112873
33,yeoman,0.05000817631641357
34,paducah,0.05000817631641357
35,member,0.04760998755745173
36,dr,0.047399363918450385
37,hopkinsville,0.04707132581912644
38,proceedings,0.046695785936663806
39,school,0.04501088018327352
40,order,0.04466327065986817
41,regular,0.04383733679398099
42,turner,0.04307166574299658
43,jas,0.04307166574299658
44,august,0.042986491427745556
45,fee,0.04155299490596183
46,motion,0.041138435004361935
47,trustees,0.04106765274877117
48,mason,0.040854813352759804
49,election,0.04001140431703423
50,children,0.039580158949016
51,acquiring,0.03895243583594925
52,book,0.038854870937735174
53,blank,0.0367442289124639
54,opportunity,0.0365984727061858
55,officers,0.03656749778165506
56,rickets,0.036098289740157295
57,jackson,0.03541452749183609
58,ignorance,0.03514140762018107
59,associations,0.03481101966436251
60,members,0.03481055838178964
61,secretary,0.034568573569224735
62,treasurer,0.03385668851317884
63,gibson,0.03357796051185698
64,printed,0.03355011364046769
65,mcridley,0.033338784210942385
66,rucker,0.033338784210942385
67,bindery,0.033338784210942385
68,laws,0.033158753156697605
69,districts,0.031764616394539515
70,schools,0.03173999170496783
71,honorary,0.03142000163128047
72,vote,0.03132552398343864
73,following,0.031175418302877206
74,food,0.031164746179471372
75,year,0.030572969271631226
76,mr,0.03045923858406594
77,mind,0.030246656791369182
78,county,0.030124218589485878
79,constitution,0.030037630708003357
