,term,score
0,parsons,0.4451553387237235
1,avery,0.22480369822178325
2,convention,0.20734658286667187
3,fulbright,0.17011820186524332
4,kansas,0.14440280516161252
5,mrs,0.14192714428319614
6,mr,0.12303719179902045
7,colored,0.116458421163474
8,fairfax,0.1109150788777493
9,merritt,0.10554738744103857
10,wilson,0.10266683126010749
11,president,0.10032006531917378
12,people,0.0995263597760025
13,stafford,0.09923561775472525
14,labette,0.09923561775472525
15,oklahoma,0.09923561775472525
16,memorial,0.09795430544963005
17,1882,0.09381989994758984
18,freedmen,0.09137139130841655
19,rev,0.08702329743656428
20,walton,0.08626728357158278
21,french,0.08078001551330455
22,following,0.07958084700751926
23,government,0.07867726906443692
24,indians,0.07109530518366548
25,congress,0.07070667388278173
26,augustus,0.07032924465947428
27,god,0.06869968564017878
28,committee,0.06850679746372403
29,wilmer,0.06546402040054757
30,garrett,0.06546402040054757
31,city,0.06315426983669394
32,meeting,0.06282482348842511
33,shawnee,0.061619488265416286
34,said,0.06024689822531374
35,resolved,0.05983036089792057
36,county,0.05915190091561272
37,ask,0.05871847542595349
38,land,0.05868276637968646
39,postoffice,0.05863743746724365
40,price,0.05796079230061197
41,motion,0.05744313663338781
42,nation,0.05729941512119469
43,egleson,0.05670606728841443
44,chatauqua,0.05670606728841443
45,territory,0.05550829130731148
46,27th,0.055041782612949064
47,women,0.054932692035105854
48,men,0.052890546723739294
49,great,0.052451512709624615
50,help,0.05015897844077836
51,gentlemen,0.04942614229571859
52,start,0.04937434162214189
53,requests,0.049295590612333025
54,state,0.047317416205986444
55,race,0.04700504806959601
56,dorsey,0.04690994997379492
57,topeka,0.04690994997379492
58,held,0.04654340185840762
59,delegates,0.046016945322391485
60,south,0.04595649882009319
61,southern,0.04422078879301674
62,mass,0.04422078879301674
63,portion,0.04283808347066183
64,rowe,0.04252955046631083
65,deborah,0.04252955046631083
66,isreal,0.04252955046631083
67,matthewson,0.04252955046631083
68,agent,0.0421625515297229
69,meet,0.041222091223417696
70,secretary,0.04072730051045115
71,named,0.040687337955148686
72,condition,0.040634063434652354
73,present,0.04061447647527753
74,credit,0.040596240876133255
75,april,0.040596240876133255
76,day,0.03961159936155148
77,treaty,0.039499473297713514
78,johnson,0.039462114199110464
79,years,0.039434600610408474
80,let,0.039434600610408474
81,lands,0.03901253878727205
82,children,0.03885979039458886
83,abide,0.03848050664208562
84,strong,0.038327863007158035
85,united,0.037594697494145145
86,evening,0.037113432492266965
87,donate,0.03697169295924977
88,domain,0.036694521741966045
89,wonder,0.03590222911702424
90,glover,0.035182462480346184
91,ladies,0.03477647538036719
92,best,0.034658589938258266
93,called,0.03460224461507709
94,faith,0.03376330143257319
95,claims,0.03353688013126328
96,future,0.03349284959377014
97,success,0.03325969948507148
98,gift,0.03321541200029888
99,make,0.033009666134626234
100,delegate,0.03271736147106583
101,honor,0.032256544827597544
102,products,0.03208899662163212
103,friends,0.03208375430420464
104,time,0.031891191441098934
105,need,0.03167768559775288
106,right,0.03167300537330652
107,offered,0.03154768048832678
108,assist,0.03133807284056987
109,true,0.031316520227175196
110,states,0.030817647741708653
111,moore,0.03059479359632619
112,families,0.030518162241725474
113,say,0.030416087566596056
114,weekly,0.030139786292193858
115,object,0.029764805261862412
116,sympathy,0.029733075757485142
117,loan,0.029624604973285135
118,enable,0.029274118357099206
119,appointed,0.029099682678359134
120,experience,0.028980396150305985
121,bless,0.028880561032322505
122,earthly,0.028860379981564214
123,serve,0.028692991042396174
124,house,0.028649707560597346
125,teal,0.028353033644207215
126,team,0.028353033644207215
127,kas,0.028353033644207215
128,dorany,0.028353033644207215
129,neosho,0.028353033644207215
130,beggars,0.028353033644207215
131,haskell,0.028353033644207215
132,holt,0.028353033644207215
133,hedgeman,0.028353033644207215
134,hedgman,0.028353033644207215
135,boquet,0.028353033644207215
136,robbery,0.028162697226206443
137,perkins,0.028162697226206443
138,gave,0.028043452689484997
139,representatives,0.028043452689484997
140,citizens,0.02773588296753779
141,general,0.02753336731862196
142,clarke,0.027520891306474532
143,room,0.02740358775764537
144,hearts,0.027087403791882098
145,beautiful,0.027064160584088837
146,church,0.02700386887403935
147,invited,0.026837605445301387
148,large,0.026807957645054364
149,high,0.02651500270604315
150,come,0.026422184154859602
151,knowing,0.026416019238979387
152,expressions,0.026373466747302853
153,trials,0.026373466747302853
154,politician,0.026373466747302853
155,wisdom,0.026351594706076814
156,thousand,0.026308076132740305
157,good,0.026225756354812307
158,chautauqua,0.026185608160219028
159,opera,0.026185608160219028
160,cherokee,0.026185608160219028
161,cornet,0.026185608160219028
162,wichita,0.026185608160219028
163,raise,0.026115060700474892
164,louisiana,0.02610611180240473
165,man,0.0260453154873412
166,introduced,0.025882640538968573
167,river,0.025855977945127676
168,told,0.02580493532421748
169,aid,0.0257028500823971
170,shall,0.025688938639350817
171,chairman,0.025673710291112827
172,lord,0.02551201130336876
173,noble,0.025506079675948475
174,appeal,0.025506079675948475
175,bread,0.02536987193629559
176,thee,0.02536987193629559
177,adopted,0.025338404298645215
178,war,0.025311694424100334
179,woman,0.024949194097908266
180,written,0.024949194097908266
181,vicinity,0.024911559000224157
182,ear,0.024911559000224157
183,peru,0.024647795306166512
184,distress,0.024647795306166512
185,esther,0.024647795306166512
186,having,0.024604313440279496
187,humanity,0.024556892194797727
188,respectfully,0.02437361492076214
189,attend,0.02435990968908141
190,left,0.024155877902433058
191,friend,0.024155877902433058
192,slaves,0.024155877902433058
193,farming,0.02406674746622409
194,murdered,0.02406674746622409
195,decided,0.02395491437947377
196,national,0.02392389840536509
197,given,0.023836025355863783
198,self,0.023756928203622487
199,thou,0.023675533611785902
200,ship,0.023675533611785902
201,shown,0.023659553289922825
202,cried,0.02345497498689746
203,vine,0.02345497498689746
204,fig,0.02345497498689746
205,surroundings,0.02345497498689746
206,case,0.023369543907904165
207,thy,0.023302522474503165
208,seeing,0.023302522474503165
209,sec,0.02318431692024479
210,world,0.023146173320605163
211,oppressed,0.022993073310170104
212,works,0.022946095197244644
213,montgomery,0.022946095197244644
214,white,0.02278965105142355
215,boon,0.022604839719145394
216,just,0.022484777030955107
217,gifted,0.02248036982217833
218,occupancy,0.02248036982217833
219,rostrum,0.02248036982217833
220,accompany,0.02248036982217833
221,tho,0.02248036982217833
222,order,0.022323834008769253
223,thanks,0.02232360394639681
224,friendly,0.022292879307012604
