,term,score
0,reciting,0.3586618781591644
1,colored,0.3306619085090165
2,murdering,0.327122631536861
3,arkansas,0.2612152682473588
4,hung,0.2612152682473588
5,louisville,0.2558486333742358
6,convention,0.24137595729623657
7,today,0.23746104879291632
8,rock,0.21611388183391417
9,appointed,0.18819707741919564
10,28,0.18561874958842323
11,august,0.16376865833555318
12,state,0.1620090335991094
13,days,0.1406015009367194
14,negro,0.1406015009367194
15,little,0.1371438048872147
16,look,0.12760713996682496
17,interests,0.11145583865067696
18,delegates,0.10301763352595064
19,adjourned,0.10016280474457373
20,session,0.10016280474457373
21,national,0.09946517358272079
22,resolutions,0.09606789334452148
23,white,0.09474946596542727
24,man,0.09474946596542727
25,committee,0.0866848027151734
26,people,0.08045865243207885
27,paymaster,0.0
28,payment,0.0
29,pauperizes,0.0
30,payments,0.0
31,paupers,0.0
32,payers,0.0
33,paym,0.0
34,paying,0.0
35,pause,0.0
36,payne,0.0
37,payable,0.0
38,pay,0.0
39,paved,0.0
40,pausing,0.0
41,pauses,0.0
42,pears,0.0
43,peasants,0.0
44,paynesville,0.0
45,peacefully,0.0
46,pearly,0.0
47,pearls,0.0
48,pearl,0.0
49,pearce,0.0
50,peak,0.0
51,peacefulness,0.0
52,peas,0.0
53,peaceful,0.0
54,pays,0.0
55,peaceably,0.0
56,peasant,0.0
57,peaceable,0.0
58,peace,0.0
59,peacable,0.0
60,peabody,0.0
61,payton,0.0
62,00,0.0
63,pattison,0.0
64,pauperism,0.0
65,paternal,0.0
66,patiently,0.0
67,patient,0.0
68,patience,0.0
69,pathway,0.0
70,paths,0.0
71,pathos,0.0
72,pathetic,0.0
73,path,0.0
74,paterson,0.0
75,patercules,0.0
76,paton,0.0
77,pater,0.0
78,patents,0.0
79,patentee,0.0
80,patent,0.0
81,patches,0.0
82,patcher,0.0
83,patched,0.0
84,patagonia,0.0
85,pat,0.0
86,patients,0.0
87,patriarch,0.0
88,pauper,0.0
89,patronized,0.0
90,paupau,0.0
91,pauline,0.0
92,paul,0.0
93,paucity,0.0
94,patton,0.0
95,peck16,0.0
96,patterson,0.0
97,patrons,0.0
98,patronizing,0.0
99,patronize,0.0
