,term,score
0,people,0.19248147607320298
1,men,0.18787773090004053
2,color,0.16506548416356479
3,colored,0.1614374444287507
4,labor,0.1269838871325235
5,man,0.11102176273343833
6,laborer,0.11036691981081574
7,country,0.1102590450693642
8,law,0.10059158953335302
9,white,0.09251813561119862
10,wages,0.09118919346583877
11,hold,0.08965090349721808
12,class,0.08657992304490239
13,ought,0.08449423425586215
14,line,0.08346068658185024
15,south,0.08162330750264432
16,american,0.08047327162668243
17,land,0.07816981724498905
18,fact,0.07560016562629739
19,education,0.07074019983562507
20,government,0.06986932306848215
21,shall,0.06843916067838654
22,condition,0.06823358075890187
23,rights,0.06817679171028079
24,national,0.06798595250165064
25,convention,0.06677928761723369
26,power,0.06658056318139355
27,laboring,0.06647806751014321
28,conventions,0.06641061064494876
29,party,0.06593558974185962
30,laws,0.06343830139426783
31,worse,0.0633073333656624
32,citizens,0.061303428482098285
33,states,0.061303428482098285
34,ireland,0.061230380694246474
35,ambition,0.06007921727502804
36,reproach,0.06007921727502804
37,case,0.059769549580453885
38,political,0.05951100155498082
39,congress,0.05651193476111941
40,make,0.05628330857869141
41,subject,0.05611359457634278
42,work,0.05521507864700993
43,did,0.05402199323744289
44,war,0.05394730069788514
45,combine,0.053354398002566965
46,centuries,0.052756111138051995
47,resented,0.052532319750812115
48,landowner,0.052532319750812115
49,shop,0.052138492856595525
50,truth,0.051032387823851465
51,owners,0.050604182879125145
52,things,0.05023283089877281
53,laborers,0.049294119946557934
54,play,0.04898430455539718
55,say,0.048619793913698604
56,united,0.048561394644036165
57,indifferent,0.04806337382002243
58,left,0.04805162762016825
59,point,0.04805162762016825
60,destitution,0.04791284416905735
61,courts,0.04751324203139815
62,argument,0.04706201823225986
63,reason,0.046869933812580054
64,crime,0.04661955661636481
65,great,0.046579548712321436
66,life,0.04656843320582247
67,sword,0.046373778027660496
68,measure,0.04618552335538121
69,candidly,0.04615660106173932
70,old,0.04573854036711448
71,civil,0.04549320191746097
72,midnight,0.044635274083679996
73,lynch,0.044635274083679996
74,true,0.04449700087767162
75,cause,0.0443211112263664
76,source,0.04431224732259958
77,far,0.044172062917607946
78,poverty,0.04414676792432629
79,answer,0.04413133529872373
80,common,0.04353243066807697
81,constitution,0.04310029981417908
82,ground,0.042982214981153365
83,said,0.042801790616610144
84,slavery,0.042597544300274785
85,capital,0.042021717126854326
86,office,0.041326035715753225
87,question,0.0411006203761341
88,persistent,0.04100712161037683
