,term,score
0,colored,0.26134467294242425
1,people,0.24883812027423058
2,race,0.18080479199160449
3,texas,0.17823605208440324
4,governor,0.17177601416502367
5,judge,0.15380083054530677
6,school,0.1502651004268445
7,normal,0.15021446577744355
8,convention,0.14930287216453833
9,state,0.12247954387229315
10,railway,0.12188855047590881
11,austin,0.11626432421367373
12,white,0.11070247636997747
13,education,0.09958130655683509
14,law,0.09912227214999847
15,decisions,0.09627558711622908
16,turner,0.09473302154707942
17,schools,0.09141762402721076
18,county,0.08676386921349151
19,sublett,0.08506669724855381
20,party,0.08437984972858122
21,company,0.07925513506994128
22,advises,0.07856384010215836
23,races,0.07568745735032874
24,social,0.0741825698677172
25,asks,0.07339559758989077
26,capitol,0.07339559758989077
27,contended,0.07321665079101594
28,rights,0.0719795888102361
29,politics,0.07123574233679968
30,trains,0.07037120899373157
31,said,0.0669469762828253
32,lands,0.06688461060658457
33,resolution,0.06555459885208181
34,men,0.064649774669616
35,railroads,0.06418372474415271
36,conference,0.06314039463132383
37,galveston,0.06283328181293678
38,whites,0.06157556315681785
39,teachers,0.06039764709280727
40,grievances,0.059768676148155314
41,chartered,0.05925450127592304
42,condition,0.05910937063801113
43,government,0.059013221581801244
44,man,0.058607193372341014
45,telegram,0.05772591479222628
46,decision,0.056828348718207175
47,wooton,0.05671113149903587
48,gainsville,0.05671113149903587
49,brewster,0.05671113149903587
50,appreciated,0.05633042466654133
51,indicated,0.05633042466654133
52,friendly,0.05573717550548715
53,children,0.054408565147663734
54,equality,0.05387889631379368
55,committee,0.05361880347721587
56,disturbs,0.05237589340143891
57,hotchkiss,0.05237589340143891
58,railroad,0.05221688648675477
59,ireland,0.05171657409512826
60,marion,0.05074427525277916
61,adopted,0.050681334356960095
62,news,0.04982756752014588
63,meals,0.049299993020496855
64,pardoned,0.049299993020496855
65,legislature,0.0491181705613132
66,threaten,0.04691413932915438
67,asylums,0.04691413932915438
68,funeral,0.04691413932915438
69,report,0.04621765974935704
70,say,0.04562820587351431
71,board,0.04546267897456574
72,100,0.04521371694873282
73,providing,0.04521371694873282
74,dallas,0.0449647549228999
75,courts,0.04458974040438972
76,encourage,0.043751043675734735
77,grant,0.043751043675734735
78,black,0.04317396353749584
79,home,0.04317396353749584
80,delegates,0.042480973778570776
