,term,score
0,florida,0.2961382180821365
1,county,0.27802751007978427
2,conference,0.24293617549099233
3,state,0.20452942385289055
4,public,0.1989482125297756
5,hon,0.1727041655838647
6,walls,0.14119616249354955
7,people,0.13726429957314665
8,rights,0.13102796244140033
9,law,0.1300553232351775
10,dean,0.12810015007581352
11,josiah,0.12102528213732819
12,civil,0.10730377854360977
13,felony,0.10400988856384227
14,larceny,0.10400988856384227
15,justices,0.10045416317978577
16,government,0.09765877330676477
17,colored,0.09025868347536745
18,alachua,0.0844642174740748
19,escambia,0.0844642174740748
20,duval,0.0844642174740748
21,petit,0.08151827732097224
22,political,0.07278301492727372
23,lewey,0.07038684789506233
24,hillsborough,0.07038684789506233
25,states,0.07038486753817406
26,1884,0.06987280913226192
27,cases,0.0677110384215672
28,grievance,0.06686992021209534
29,committee,0.0650699518598933
30,gainesville,0.06500618035240142
31,witherspoon,0.06500618035240142
32,education,0.06464971057198406
33,policy,0.06395978282284392
34,shall,0.0637731905264042
35,facilities,0.0628198835824495
36,court,0.062237803376761075
37,menard,0.061188535975875216
38,convicted,0.060512641068664094
39,wallace,0.05883483482923739
40,constitution,0.05689596092517538
41,artrell,0.05630947831604986
42,lightbourn,0.05630947831604986
43,equal,0.05545372565887522
44,men,0.05543845608816568
45,davidson,0.05376223357329838
46,common,0.05324093811810452
47,property,0.05283448524051112
48,leon,0.05200494428192114
49,crocket,0.05200494428192114
50,jurisdiction,0.05135029456500121
51,rev,0.049854621257913144
52,lands,0.0498081782766
53,courts,0.0498081782766
54,illiteracy,0.04895082878070017
55,rosa,0.04895082878070017
56,suits,0.04895082878070017
57,theatres,0.04895082878070017
58,voters,0.04848756056400983
59,peace,0.047973874683780254
60,lee,0.04779686052621287
61,united,0.04751316051033992
62,grievances,0.04747629447105318
63,course,0.047155005186967
64,affairs,0.04698816781528166
65,provide,0.04627910016448576
66,executive,0.04566453026598419
67,gen,0.04484280787305088
68,constitutes,0.044646294746571454
69,general,0.04442880875390691
70,section,0.044287694369284265
71,power,0.04320733842352472
72,statute,0.043017865714446483
73,plane,0.0430097868586387
74,offenses,0.0430097868586387
75,santa,0.0430097868586387
76,bryant,0.04279191213750102
77,gadsden,0.0422321087370374
78,volusia,0.0422321087370374
79,party,0.041891117255206466
80,james,0.04157326054615233
81,monroe,0.041228888971366305
82,matters,0.04112259744703352
83,powerless,0.04034176071244273
84,ends,0.039346907667785924
85,murrell,0.03900370821144085
86,punishable,0.03900370821144085
87,jury,0.03888529764312067
88,man,0.03879474096333841
89,prohibited,0.03821138297834019
90,secure,0.0380292415129318
91,crime,0.038011032094370505
92,order,0.03800178228813513
93,shows,0.03797602595666887
94,john,0.03733176897240994
95,laws,0.036945796468959125
96,nassau,0.03671312158552513
97,condition,0.03668170754397031
98,following,0.03647274331185528
