,term,score
0,status,0.2725724286381143
1,negro,0.24731620158379117
2,party,0.20795975569394273
3,negroes,0.1868182144888741
4,political,0.16543780633139785
5,rights,0.1535179217375675
6,colored,0.1400220305838037
7,southern,0.13042114043869382
8,men,0.1281354709269559
9,democratic,0.12210754151813176
10,country,0.1103453994122825
11,people,0.09959217158611632
12,white,0.09876330171830003
13,man,0.09876330171830003
14,race,0.0959765570873204
15,civil,0.09105766393982058
16,1884,0.08894078371029975
17,citizens,0.08180192136852309
18,states,0.07595892698505716
19,government,0.07458564733799745
20,inter,0.07447146649063965
21,desires,0.07363557242713471
22,shall,0.07305894601932021
23,south,0.07261087509017956
24,humanitarian,0.06670558778272481
25,democrats,0.06536355842972971
26,ohio,0.06521057021934691
27,national,0.06479923691995926
28,office,0.06302232695479908
29,republican,0.06207948742970311
30,public,0.059977961700458514
31,protection,0.05958441549610071
32,doctrine,0.05848777567428889
33,state,0.05804980532655839
34,questions,0.05735450458794498
35,republicans,0.05631725809637827
36,outrages,0.0547572473141162
37,right,0.05404652381301767
38,butchered,0.05375706080029917
39,oracle,0.05375706080029917
40,torchlight,0.05375706080029917
41,vaulting,0.05375706080029917
42,tooth,0.05375706080029917
43,congressman,0.05339618490520534
44,means,0.053313743733740905
45,old,0.05231355721992386
46,united,0.0518393895359674
47,issues,0.05105269345413924
48,mixed,0.05105269345413924
49,great,0.049723764891998305
50,unfaithful,0.0496476443270931
51,massacres,0.0496476443270931
52,jeopardy,0.0496476443270931
53,issue,0.04864008771202753
54,shot,0.04810101681849075
55,ambition,0.04810101681849075
56,ground,0.04779542048995416
57,better,0.04691112473843313
58,espouse,0.04673196693848772
59,scarborough,0.04673196693848772
60,openly,0.04563030619729049
61,quiet,0.04488856874433015
62,conference,0.04488856874433015
63,like,0.0448605588224036
64,recognition,0.04485827021808489
65,regime,0.04447039185514987
66,conciliatory,0.04447039185514987
67,common,0.04356652505410774
68,interests,0.04356652505410774
69,say,0.043251442397913994
70,circumstances,0.04290040484506574
71,greater,0.042676582000729206
72,brethern,0.04262255046528166
73,ku,0.04262255046528166
74,jeff,0.04262255046528166
75,klux,0.04262255046528166
76,riots,0.04262255046528166
77,opposed,0.04256029678292908
78,citizen,0.041893477504480796
79,patient,0.0416416866755744
80,surely,0.0416416866755744
81,democracy,0.041067935485587154
82,xenia,0.04106022283123759
83,1883,0.04106022283123759
84,policy,0.04070705959049333
85,american,0.04026814894901837
86,law,0.04026814894901837
87,north,0.03999226071037361
88,complex,0.03970687307667629
89,danville,0.03970687307667629
90,candidates,0.03896769085770434
91,treatment,0.03896769085770434
92,lives,0.038912070169622025
93,cox,0.0385131339920756
94,april,0.03848502802958012
95,legitimate,0.03848502802958012
96,matter,0.0382237987137536
97,parties,0.037906733419982915
98,way,0.03766071620330342
99,ought,0.037582404322405207
100,wipe,0.03744529799333843
101,victories,0.03744529799333843
102,act,0.03738379901866966
103,prosperity,0.037263182982483954
104,true,0.037109875591963486
105,far,0.03683888188373089
106,new,0.036529473009660106
107,observe,0.03647932283266532
108,presidential,0.03647932283266532
109,compete,0.03647932283266532
110,concerned,0.036277883699756604
111,gentlemen,0.036042868664928326
112,did,0.036042868664928326
113,come,0.0357829928463829
114,interview,0.035597456603470225
115,bravery,0.035597456603470225
116,deliberately,0.035597456603470225
117,present,0.035540598723685195
118,slavery,0.03552575540657579
119,step,0.0354775619657653
120,unit,0.03478621831219437
121,life,0.03452215212899208
122,taken,0.03452215212899208
123,justice,0.03452215212899208
124,northern,0.03435092795161299
125,job,0.03403512896942616
126,pierce,0.03403512896942616
127,logic,0.03403512896942616
128,think,0.03377975487675054
129,violated,0.033335881520132365
130,pittsburgh,0.033335881520132365
131,demand,0.03325322823073087
132,follow,0.032967920203918956
133,wilberforce,0.032681779214864856
134,sherman,0.032681779214864856
135,independent,0.03264096992295568
136,theory,0.0320673445456605
137,mistakes,0.0320673445456605
138,fort,0.0320673445456605
139,behalf,0.03151116347739954
140,loudly,0.03148804013026416
141,rooms,0.03148804013026416
142,crimes,0.03148804013026416
143,hardly,0.03148804013026416
144,infamous,0.03148804013026416
145,chicago,0.03148804013026416
146,enjoyment,0.03139925131596451
147,good,0.03107735305749894
148,fact,0.031039743714851555
149,pulpit,0.030940065161998143
150,class,0.030808082494462017
151,played,0.030420204131526993
152,bishop,0.030420204131526993
153,hands,0.030352554646606855
154,rise,0.030251340038556878
155,time,0.030232685835425564
156,favor,0.030128572962642736
157,change,0.029977411868704933
158,assurance,0.0299257124962201
159,strange,0.0299257124962201
160,speedily,0.0299257124962201
161,hundreds,0.0299257124962201
162,prof,0.029454228970853886
163,outrage,0.029454228970853886
164,matters,0.02944393249594776
165,whites,0.029184052627216517
166,action,0.029044350036071826
167,education,0.029044350036071826
168,candidate,0.02900370733109074
169,pa,0.02900370733109074
170,eye,0.02900370733109074
171,water,0.02900370733109074
172,foot,0.02900370733109074
173,trodden,0.02900370733109074
174,sufficient,0.02892854069476424
175,movement,0.02892854069476424
176,excitement,0.028572362741658787
177,run,0.028572362741658787
178,killed,0.028572362741658787
179,aspirations,0.028572362741658787
180,likewise,0.028158629048189134
181,abiding,0.028158629048189134
