,term,score
0,tibbet,0.4987253458071521
1,cris,0.39898027664572167
2,johnson,0.21595227215134827
3,armstrong,0.19815094341231518
4,baker,0.1819210135138463
5,pickett,0.15817044982386455
6,nelson,0.13617141066382077
7,convention,0.1361618857021653
8,hamilton,0.12485033218204085
9,bryant,0.12128067567589754
10,solomon,0.11900053507064229
11,logan,0.11481724980862398
12,montgomery,0.10763150926069354
13,jones,0.10735256910930127
14,goiger,0.09974506916143042
15,bardow,0.09974506916143042
16,streed,0.09974506916143042
17,geiger,0.09974506916143042
18,torry,0.09974506916143042
19,pigford,0.09974506916143042
20,alotted,0.09974506916143042
21,stewart,0.09293071418832119
22,ely,0.09212013535309284
23,widow,0.08671015872026985
24,patton,0.08671015872026985
25,travis,0.08671015872026985
26,abernathy,0.08671015872026985
27,menard,0.08671015872026985
28,haller,0.08671015872026985
29,furgerson,0.08671015872026985
30,allen,0.0849832098527203
31,scott,0.08409820899004619
32,terry,0.08251385483491967
33,colored,0.07994088113496252
34,harvey,0.07908522491193228
35,meyers,0.07908522491193228
36,nichols,0.0736752482791093
37,williams,0.07156837940620084
38,homestead,0.06947894439375911
39,milton,0.06947894439375911
40,mercantile,0.06768659827633472
41,west,0.06686089330600008
42,unions,0.06605031447077173
43,orphans,0.06605031447077173
44,powell,0.06605031447077173
45,smith,0.06577064881637397
46,committees,0.06317577163550044
47,different,0.0626776080439818
48,frank,0.059500267535321144
49,moral,0.058468285535299674
50,austin,0.05842538066243414
51,perry,0.0555265153675207
52,noon,0.0555265153675207
53,memorial,0.05301540402961118
54,louis,0.05224773006724836
55,assembled,0.05161102568932492
56,trades,0.05151016884254789
57,race,0.05088069592045358
58,methodist,0.050800446854096556
59,carter,0.05011653873469774
60,adams,0.04760542739678821
61,newspapers,0.04702675402683658
62,day,0.04645078156942433
63,editor,0.045920234849347534
64,select,0.0448752215342152
65,present,0.0439632105991541
66,morrow,0.043885235034210296
67,davis,0.04340912351143801
68,fields,0.042944769038534066
69,wait,0.042944769038534066
70,appointing,0.042944769038534066
71,committee,0.04191386628903095
72,educational,0.041194166335923384
73,printing,0.04037641138350413
