,term,score
0,roberts,0.22024435598945505
1,westbrook,0.21324224919290968
2,kerr,0.21324224919290968
3,gillett,0.21324224919290968
4,blocker,0.21324224919290968
5,ashers,0.21324224919290968
6,waco,0.19694111221534674
7,twine,0.19694111221534674
8,haller,0.1853752714678991
9,tex,0.1853752714678991
10,cuney,0.1690741344903362
11,adjourning,0.1628767298387422
12,blount,0.1628767298387422
13,galveston,0.15750829374288855
14,declared,0.14413130913901237
15,men,0.13259603053348692
16,arrive,0.129641316017878
17,colored,0.1281775638560146
18,convention,0.12475575558592597
19,sergeant,0.12273232552332836
20,subjected,0.11870861513616876
21,respects,0.11334017904031508
22,texas,0.11169898991931561
23,non,0.10436901599103388
24,attended,0.10053720835758398
25,newspapers,0.10053720835758398
26,setting,0.09933701324397812
27,council,0.09933701324397812
28,editor,0.09817161133943993
29,nelson,0.09703904206275214
30,morrow,0.0938210410171646
31,journal,0.0938210410171646
32,prominent,0.09084163741115821
33,month,0.08989562786862702
34,scott,0.08989562786862702
35,committee,0.08960650581512575
36,ago,0.08897136761013637
37,negroes,0.08718424892576374
38,wrongs,0.08631962311662755
39,richard,0.08547320131530453
40,signed,0.08464423275956426
41,august,0.08464423275956426
42,clark,0.0830358762664152
43,expected,0.08225520026971697
44,pursuant,0.08148939519997524
45,freemen,0.07856421082075488
46,thursday,0.07717774409716564
47,williams,0.07650203826602332
48,continue,0.07650203826602332
49,arms,0.07583750163916689
50,days,0.07267023063257343
51,20,0.07088311194820081
52,measures,0.07088311194820081
53,hall,0.07088311194820081
54,executive,0.0691720643377416
55,published,0.06699837007330726
56,permanent,0.06699837007330726
57,forth,0.0644367681076263
58,unanimously,0.06297465968614764
59,better,0.062028650143616464
60,presidents,0.0615638640356021
61,follows,0.061104389885125815
62,morning,0.059756658640560095
63,clock,0.058452645391617014
64,organization,0.057606223590293985
65,did,0.05718960275768045
66,meet,0.056369093655010506
67,object,0.055965034469294496
68,condition,0.055564995839666474
69,chairman,0.055168898541404644
70,reported,0.05400349663686644
71,political,0.05250038510059604
72,vice,0.05250038510059604
73,long,0.0521332268358446
74,met,0.0521332268358446
75,adjourned,0.051769391315883546
76,secretary,0.05105145169171061
77,rev,0.050346108151471974
78,city,0.049998023288154475
79,report,0.04965292631459112
80,day,0.04965292631459112
