,term,score
0,county,0.32102390041379614
1,conference,0.30783999298150866
2,district,0.27743864810642016
3,scott,0.19257820613860124
4,smith,0.15853637034652582
5,cuney,0.15250431286552865
6,texas,0.15112818193718883
7,houston,0.1432894395053051
8,race,0.12264499434169801
9,starnes,0.12021487935268454
10,mcdonald,0.11102514691229688
11,coach,0.10450492798134307
12,dr,0.09921989168150609
13,landry,0.09617190348214764
14,simmons,0.09182142141640491
15,garnett,0.08612546310056773
16,negro,0.08193538607936471
17,hon,0.08044482114428493
18,prof,0.07904085222169378
19,plans,0.07571840035021368
20,campbell,0.07248182240846639
21,asberry,0.07212892761161073
22,committee,0.07072167667135447
23,loving,0.06919009605884378
24,welcome,0.06801317329322859
25,juries,0.06526186257820236
26,1895,0.06270295678880583
27,haller,0.06270295678880583
28,misses,0.06270295678880583
29,wilson,0.06145414348000119
30,law,0.06003342439232012
31,hathaway,0.05966847195935641
32,applauded,0.05736879060465435
33,mob,0.05736879060465435
34,simms,0.05718911732457325
35,maynard,0.05718911732457325
36,state,0.05664636278212488
37,report,0.05598347015198128
38,lawson,0.05327698596600096
39,miller,0.0526939014811292
40,organization,0.05196062408894324
41,separate,0.051757949262042906
42,purpose,0.05011944337582068
43,legislation,0.049998146995172625
44,bell,0.04898062343107089
45,reynolds,0.04894639693365178
46,follows,0.048226463752219964
47,raynor,0.04808595174107382
48,asbery,0.04808595174107382
49,balding,0.04808595174107382
50,donald,0.04808595174107382
51,abner,0.04776314650176836
52,organize,0.04726012443582053
53,non,0.04707025446601872
54,taylor,0.04707025446601872
55,green,0.046371199956765974
56,rights,0.045774175312436584
57,robertson,0.04566688202703807
58,lights,0.04566688202703807
59,men,0.04485044368147102
60,warmly,0.04472866167231892
61,gibson,0.04472866167231892
62,emmett,0.044410058764918756
63,collector,0.044410058764918756
64,gathering,0.04385101514319607
65,baker,0.04385101514319607
66,marshall,0.04385101514319607
67,mrs,0.043764448286307836
68,colored,0.04335590278096961
69,people,0.04219848035671655
70,citizens,0.04181269463231438
71,watts,0.04180197119253722
72,patton,0.04180197119253722
73,tex,0.04180197119253722
74,travis,0.04180197119253722
75,rogers,0.04151405763530627
76,evils,0.04012594038405602
77,wheeler,0.0397789813062376
78,redound,0.0397789813062376
79,sparks,0.0397789813062376
80,colorado,0.0397789813062376
81,harrison,0.03833717567896348
82,relief,0.03833717567896348
83,wiley,0.03812607821638216
84,condition,0.037589582531865506
85,addressed,0.03718146751637832
86,life,0.037056279117034255
87,douglass,0.036751583139140814
88,representative,0.036751583139140814
89,discreet,0.03672856856656197
90,nurtured,0.03672856856656197
91,pernicious,0.03672856856656197
92,stephens,0.03672856856656197
93,rodgers,0.03672856856656197
94,violence,0.035763711316602484
95,peaceful,0.035763711316602484
96,lowery,0.03551799064400064
97,galveston,0.03551799064400064
98,ex,0.03485678856226132
99,jones,0.034502293368945544
100,cole,0.034450185240227096
101,caldwell,0.034450185240227096
102,class,0.03444747410872855
103,representation,0.033907756985941916
104,conditions,0.033600622130685875
105,council,0.033600622130685875
106,payne,0.03349500075770101
107,visiting,0.03349500075770101
108,ellis,0.03349500075770101
109,hero,0.03263093128910118
110,dissatisfied,0.03263093128910118
111,townsend,0.03263093128910118
112,tremendous,0.03184209766784558
113,falls,0.03184209766784558
114,perkins,0.03184209766784558
115,present,0.031791238018475984
116,anti,0.03170727406930516
117,laws,0.03155017306447906
118,believe,0.03155017306447906
119,heart,0.031450082024448135
120,following,0.031146205349562858
121,commissioners,0.031116441079779567
122,brain,0.031116441079779567
123,president,0.03093454978548332
124,harmonious,0.03044458801802538
125,fare,0.03044458801802538
126,travel,0.03044458801802538
127,eighth,0.03044458801802538
128,sam,0.03044458801802538
129,webb,0.02981910778154595
130,grimes,0.02981910778154595
131,applause,0.02978885138528144
132,forcible,0.029234010095464055
133,23,0.029197505985824917
134,anderson,0.028911204856158595
135,addresses,0.028630807265270307
136,behalf,0.028186888637908743
137,character,0.028186888637908743
138,city,0.028186282784987866
139,austin,0.028166204691690507
140,prince,0.028166204691690507
141,customs,0.028166204691690507
142,freeman,0.027822719974059582
143,great,0.027798843112250112
144,good,0.027798843112250112
145,richardson,0.027676038423537514
146,appointed,0.02741791533984046
147,delivered,0.027309496750498288
148,address,0.027229825721479903
149,ninth,0.027211020209164428
150,webster,0.027211020209164428
151,fred,0.027211020209164428
152,gross,0.027211020209164428
153,played,0.027211020209164428
154,comfort,0.027211020209164428
155,judges,0.027211020209164428
156,adopted,0.026858265450313768
157,second,0.026751991701149676
158,remedy,0.0263469507405646
159,minority,0.0263469507405646
160,gentleman,0.026105276690154944
161,robert,0.026105276690154944
162,secure,0.02598031204447162
163,band,0.025943956947648016
164,say,0.025792416734539327
165,fair,0.02565194133282833
166,statutes,0.025558117119308985
167,cotton,0.025558117119308985
168,fourth,0.025430817739456435
169,perpetuate,0.0251880303228648
170,central,0.024999073497586313
171,unfortunate,0.024832460531242977
172,approval,0.024832460531242977
173,want,0.024788235144610146
174,lines,0.024490311715535444
175,seventh,0.024490311715535444
176,nostrils,0.02404297587053691
177,pettigrew,0.02404297587053691
178,rippling,0.02404297587053691
179,halbredts,0.02404297587053691
180,towell,0.02404297587053691
181,eph,0.02404297587053691
182,thirtieth,0.02404297587053691
183,goliad,0.02404297587053691
184,milligan,0.02404297587053691
185,thralldom,0.02404297587053691
186,leathers,0.02404297587053691
187,hester,0.02404297587053691
188,texan,0.02404297587053691
189,culbreath,0.02404297587053691
190,gasson,0.02404297587053691
191,dunkens,0.02404297587053691
192,emett,0.02404297587053691
193,tibbett,0.02404297587053691
194,tibbetts,0.02404297587053691
195,boreal,0.02404297587053691
196,tranquil,0.02404297587053691
197,gonzales,0.02404297587053691
198,allerson,0.02404297587053691
199,homeward,0.02404297587053691
200,dewitt,0.02404297587053691
201,osier,0.02404297587053691
202,radiates,0.02404297587053691
203,brazoria,0.02404297587053691
204,yelled,0.02404297587053691
205,hilliard,0.02404297587053691
206,franction,0.02404297587053691
207,hotson,0.02404297587053691
208,austral,0.02404297587053691
209,shonon,0.02404297587053691
210,dixie,0.02404297587053691
211,biased,0.02404297587053691
212,lavaca,0.02404297587053691
213,nillie,0.02404297587053691
214,compartment,0.02404297587053691
215,llanos,0.02404297587053691
216,occidental,0.02404297587053691
217,laylor,0.02404297587053691
218,bexar,0.02404297587053691
219,phonse,0.02404297587053691
220,mcphearson,0.02404297587053691
221,guadalupe,0.02404297587053691
222,odors,0.02404297587053691
223,kealan,0.02404297587053691
224,perfumed,0.02404297587053691
225,bandera,0.02404297587053691
226,carrie,0.02404297587053691
227,matagorda,0.02404297587053691
228,racial,0.02404297587053691
229,brazos,0.02404297587053691
230,lamar,0.02404297587053691
231,malones,0.02404297587053691
232,environ,0.02404297587053691
233,hatch,0.02404297587053691
234,overcrowded,0.02404297587053691
235,nora,0.02404297587053691
236,franks,0.02404297587053691
237,orient,0.02404297587053691
238,paton,0.02404297587053691
239,codwell,0.02404297587053691
240,marking,0.02404297587053691
241,fluid,0.02404297587053691
242,cooped,0.02404297587053691
243,raston,0.02404297587053691
244,jamerson,0.02404297587053691
245,pauline,0.02404297587053691
246,stench,0.02404297587053691
247,tillery,0.02404297587053691
248,kilpatrick,0.02404297587053691
249,bandy,0.02404297587053691
250,nels,0.02404297587053691
251,limestone,0.02404297587053691
252,cora,0.02404297587053691
253,jamesison,0.02404297587053691
