,term,score
0,negro,0.24585810376232117
1,tenant,0.15594060063681317
2,hampton,0.15241668959100624
3,work,0.15007101677848256
4,colored,0.1496761110886649
5,conference,0.14241676593043306
6,00,0.14133380338508464
7,association,0.13890686390955762
8,said,0.12080218258618737
9,cent,0.11509435716539199
10,race,0.11353584460662627
11,labor,0.10996198020181132
12,sewing,0.1039604004245421
13,white,0.09870326413357015
14,south,0.09537342366821772
15,unions,0.09486884569432019
16,people,0.0947920287015721
17,teacher,0.09399506551408583
18,years,0.09393641373435263
19,rate,0.09331974905302054
20,women,0.09032018604598799
21,men,0.08696249616001452
22,000,0.0865653057499232
23,training,0.08396663281797137
24,life,0.08017413890405282
25,shall,0.07880933823109354
26,school,0.07496367634608321
27,workmen,0.07034616442661824
28,va,0.06802754660634026
29,good,0.06744123032021207
30,federation,0.06651590180111945
31,economic,0.06615661845198134
32,sanitary,0.06490916645665225
33,skilled,0.06490916645665225
34,girls,0.06424823846154358
35,total,0.06388500964228418
36,data,0.06349051226569268
37,woman,0.06303288067707555
38,education,0.06220005891405503
39,year,0.062112688162337636
40,dr,0.06142567708609007
41,business,0.06124730406169083
42,southern,0.06029419293409548
43,farm,0.060285401917567115
44,teachers,0.05885150784064195
45,negroes,0.05857400749212236
46,problems,0.057823453841738134
47,store,0.05759894202869441
48,stock,0.057598119089485596
49,children,0.05750384755063351
50,lines,0.05732986362270078
51,insurance,0.05670567295884115
52,pulpit,0.05595275056759226
53,average,0.05595275056759226
54,100,0.054390464349642106
55,schools,0.05398629949881308
56,death,0.053111625285360946
57,union,0.052573205838723165
58,burden,0.052118057838818885
59,grimke,0.051166078308553416
60,prof,0.0504622695974906
61,industrial,0.05020387848943523
62,active,0.05013276593832462
63,child,0.05007709884740892
64,make,0.05003835406840117
65,homes,0.04980978398449591
66,operative,0.04913100588235685
67,capital,0.049100620318230065
68,warehouse,0.04725472746570096
69,young,0.046903616385045435
70,members,0.046873793204624835
71,net,0.0465597089948413
72,fiction,0.0465597089948413
73,best,0.04628339493870643
74,help,0.04626436472576884
75,conditions,0.045287002429636555
76,time,0.044889828400783476
77,population,0.04458679161652954
78,1899,0.04447957987826011
79,let,0.04412164887522623
80,committee,0.04407601072129511
81,great,0.04377764073417274
82,contract,0.043431016974812775
83,births,0.04252925471913086
84,man,0.04230139891438721
85,small,0.04226261926167387
86,mrs,0.04191098639754347
87,large,0.04146670594270335
88,statistics,0.04143523497638866
89,richmond,0.04140868023050551
90,frissell,0.04093286264684273
91,creamery,0.04093286264684273
